time,n1,n2,n3,n4,n5,n6,n7
305,23.4,44.2,162.9,82,58.8,58.4,26.3
306,23.4,44.2,163.5,82.1,58.9,58.6,26.3
307,23.3,44.3,163.7,82.3,59,58.8,26.3
308,23.4,44.5,164.3,82.5,59.1,59,26.4
309,23.4,44.6,164.2,82.7,59.4,59.1,26.5
310,23.4,44.6,164.7,83,59.5,59.4,26.5
311,23.4,44.7,165,83.1,59.6,59.5,26.5
312,23.4,44.8,165.2,83.2,59.8,59.6,26.6
313,23.4,44.8,165.4,83.5,59.8,59.8,26.7
314,23.4,44.9,165.8,83.5,60.1,59.9,26.6
315,23.4,45,166.1,83.7,60.2,60.1,26.6
316,23.4,45.2,166.3,83.8,60.3,60.3,26.7
317,23.4,45.2,166.9,84,60.6,60.4,26.7
318,23.4,45.3,167.1,84.2,60.7,60.6,26.7
319,23.4,45.4,167.4,84.3,60.9,60.7,26.8
320,23.4,45.5,167.7,84.5,61,60.9,26.7
321,23.4,45.6,168,84.6,61.2,61,26.7
322,23.4,45.7,168.3,84.8,61.3,61.2,26.7
323,23.3,45.7,168.6,84.9,61.5,61.3,26.8
324,23.3,45.8,168.9,85.1,61.7,61.5,26.9
325,23.4,45.9,169.3,85.3,61.8,61.7,26.9
326,23.4,46,169.6,85.4,62,61.8,27
327,23.4,46.1,169.8,85.6,62.1,62,27
328,23.4,46.2,170.2,85.7,62.3,62.1,27
329,23.4,46.3,170.5,86,62.4,62.3,27.1
330,23.4,46.4,170.7,86,62.6,62.5,27.1
331,23.4,46.5,171,86.2,62.8,62.6,27.1
332,23.4,46.5,171,86.4,63,62.8,27.1
333,23.4,46.6,171.5,86.6,63.1,63.1,27.2
334,23.4,46.7,171.7,86.7,63.3,63.1,27.2
335,23.4,46.8,172.1,86.9,63.5,63.3,27.2
336,23.4,46.8,172.3,87.1,63.6,63.4,27.2
337,23.4,46.9,172.6,87.2,63.8,63.6,27.2
338,23.4,47.1,172.7,87.4,63.9,63.8,27.3
339,23.4,47.2,172.7,87.6,64.1,63.8,27.4
340,23.4,47.2,173.1,87.7,64.3,64,27.4
341,23.4,47.3,173.7,87.9,64.3,64.1,27.4
342,23.4,47.4,173.6,88,64.5,64.3,27.3
343,23.5,47.5,173.9,88.2,64.6,64.4,27.3
344,23.5,47.6,174.2,88.3,64.8,64.7,27.4
345,23.5,47.7,174.7,88.5,65,64.9,27.4
346,23.5,47.8,175.2,88.6,65.1,65.1,27.5
347,23.5,47.9,175.5,88.8,65.3,65.2,27.5
348,23.4,48,175.7,89,65.5,65.3,27.5
349,23.4,48.1,175.7,89.1,65.6,65.5,27.6
350,23.4,48.1,176.2,89.3,65.8,65.7,27.6
351,23.4,48.3,176.6,89.3,66,65.8,27.6
352,23.4,48.3,176.7,89.6,66.1,66,27.7
353,23.4,48.4,176.8,89.7,66.1,66,27.6
354,23.4,48.5,177,89.8,66.3,66.3,27.6
355,23.4,48.6,177.4,90,66.4,66.3,27.7
356,23.4,48.7,177.4,90.1,66.6,66.6,27.7
357,23.4,48.8,178,90.3,66.7,66.7,27.8
358,23.4,48.9,178.1,90.4,66.9,66.9,27.8
359,23.4,49,178.3,90.6,67.1,67.1,27.9
360,23.4,49.1,178.6,90.7,67.2,67.3,27.9
361,23.4,49.2,178.8,90.9,67.4,67.5,28
362,23.4,49.3,178.9,91,67.5,67.6,27.9
363,23.3,49.4,179.2,91.2,67.7,67.8,27.9
364,23.4,49.5,179.6,91.4,67.8,68,28.1
365,23.4,49.6,179.9,91.5,68,68.1,28.2
366,23.4,49.7,180.1,91.7,68.2,68.2,28.2
367,23.4,49.8,180.4,91.9,68.4,68.4,28.3
368,23.4,49.9,180.7,92,68.6,68.6,28.3
369,23.4,50,180.9,92.1,68.7,68.7,28.3
370,23.4,50,181,92.3,68.9,68.9,28.4
371,23.4,50.1,181.4,92.5,69,69.1,28.5
372,23.4,50.3,181.6,92.6,69.1,69.2,28.5
373,23.4,50.4,181.6,92.8,69.3,69.4,28.5
374,23.4,50.5,181.9,93,69.4,69.5,28.5
375,23.4,50.6,182.3,93,69.7,69.7,28.6
376,23.4,50.6,182.4,93.2,69.8,69.8,28.7
377,23.4,50.8,182.4,93.3,70,70,28.7
378,23.4,50.8,182.5,93.5,70.1,70.1,28.6
379,23.4,50.8,183.1,93.6,70.2,70.3,28.6
380,23.5,50.9,183.1,93.8,70.4,70.4,28.6
381,23.5,51.1,183.2,94,70.4,70.6,28.7
382,23.5,51.2,183.7,94.1,70.6,70.7,28.7
383,23.4,51.2,183.7,94.2,70.7,70.9,28.7
384,23.5,51.4,183.9,94.4,70.9,71.1,28.7
385,23.4,51.5,184.4,94.5,71.1,71.2,28.7
386,23.4,51.5,184.5,94.6,71.2,71.4,28.8
387,23.5,51.7,184.9,94.8,71.4,71.5,28.8
388,23.4,51.8,185.4,94.9,71.5,71.5,28.8
389,23.4,51.8,185.2,95,71.7,71.8,28.8
390,23.4,51.8,185.2,95.2,71.9,71.7,28.7
391,23.4,51.9,185,95.3,72,72,28.7
392,23.4,52.1,185.4,95.5,72.1,72.1,28.7
393,23.5,52.2,185.6,95.5,72.3,72.2,28.7
394,23.5,52.3,185.7,95.7,72.4,72.4,28.7
395,23.5,52.4,186.2,96,72.6,72.6,28.7
396,23.5,52.5,186.4,96,72.6,72.7,28.8
397,23.5,52.6,186.5,96.2,72.9,72.9,28.7
398,23.6,52.6,186.9,96.3,73,73.1,28.7
399,23.5,52.8,187.1,96.5,73.2,73.2,28.7
400,23.6,52.9,187.3,96.6,73.4,73.4,28.7
401,23.5,53,187.5,96.7,73.5,73.5,28.7
402,23.5,53.1,187.3,96.8,73.6,73.7,28.7
403,23.6,53.2,186.4,97,73.7,73.8,28.7
404,23.5,53.3,187,97.1,73.8,74,28.8
405,23.6,53.4,187.5,97.3,74,74.1,28.8
406,23.5,53.5,188.1,97.4,74.1,74.3,28.9
407,23.5,53.5,188.2,97.5,74.3,74.6,28.9
408,23.5,53.7,188.5,97.6,74.4,74.6,29
409,23.4,53.7,188.2,97.8,74.5,74.7,29
410,23.4,53.8,188.7,97.8,74.7,74.8,29
411,23.5,54,189,98,74.8,75,28.9
412,23.4,54,189.1,98.1,75,75.2,29
413,23.5,54.1,189.5,98.2,75.2,75.4,29.2
414,23.5,54.2,189.7,98.4,75.3,75.5,29.1
415,23.4,54.3,190,98.5,75.4,75.7,29.2
416,23.4,54.5,190.3,98.6,75.5,75.8,29.3
417,23.4,54.5,190.5,98.7,75.7,75.9,29.3
418,23.4,54.6,190.6,98.8,75.8,76.1,29.5
419,23.5,54.8,190.8,99,76,76.3,29.5
420,23.5,54.8,191.1,99.2,76.2,76.4,29.5
421,23.4,54.9,191.3,99.3,76.3,76.7,29.6
422,23.4,55.1,191.6,99.4,76.5,76.7,29.7
423,23.4,55.2,191.9,99.5,76.6,76.9,29.8
424,23.4,55.2,191.9,99.7,76.8,77.1,29.8
425,23.4,55.3,192.1,99.9,77,77.3,30
426,23.4,55.4,192.3,100,77,77.4,30
427,23.4,55.5,192.4,100.1,77.3,77.6,30
428,23.4,55.5,192.6,100.3,77.4,77.7,30
429,23.4,55.7,192.9,100.4,77.5,77.8,30.1
430,23.4,55.8,193.1,100.5,77.7,78.1,30.1
431,23.4,55.9,193.3,100.6,77.8,78.1,30.1
432,23.5,56,193.4,100.7,78,78.2,30.1
433,23.5,56.1,193.7,100.9,78.1,78.4,30.1
434,23.6,56.2,193.8,101,78.3,78.6,30.2
435,23.5,56.3,193.9,101,78.4,78.7,30.2
436,23.6,56.4,194.2,101.2,78.6,78.9,30.3
437,23.5,56.5,193.8,101.3,78.7,79,30.3
438,23.5,56.6,194.3,101.5,78.9,79,30.3
439,23.5,56.7,193.9,101.6,79,79.2,30.3
440,23.5,56.9,194.4,101.8,79.1,79.4,30.3
441,23.5,57,194.7,101.8,79.2,79.5,30.3
442,23.5,57.1,194.9,102,79.4,79.7,30.3
443,23.5,57.1,195.2,102.1,79.5,79.8,30.3
444,23.5,57.2,195.3,102.3,79.6,80,30.3
445,23.5,57.4,195.2,102.4,79.7,80.1,30.3
446,23.6,57.4,195.7,102.6,79.8,80.3,30.3
447,23.5,57.5,195.9,102.7,80,80.4,30.4
448,23.5,57.5,195.9,102.8,80.1,80.6,30.5
449,23.5,57.7,196,102.9,80.3,80.7,30.5
